RMSE,MAE,MAPE,DA,N,Model,DA_Ensemble
23.14343248432917,7.016399883516394,0.9745536962286172,50.6398537477148,1641,Random Walk,
58.082140749224365,12.297942251737133,1.536117517455134,71.96831200487507,1641,Moving Average,
23.61373835607543,6.8110758190934835,0.9243192347809694,68.19012797074954,1641,ARIMA,
23.676886555309814,6.776219518448485,0.9150870149970511,68.00731261425959,1641,Hybrid ARIMA-LSTM,50.1219512195122
23.131564676724963,6.792456694755538,0.9280822942058234,66.11822059719682,1641,Mean Reversion,
23.144278202781848,6.767903250159068,0.9234686018995488,66.11822059719682,1641,Mean Reversion + Streak,
23.048640589631628,6.6813813943379206,0.9129379835271774,66.4229128580134,1641,Ensemble (Simple Avg),
23.047112413290854,6.679253846051658,0.9126876171266578,66.48385131017672,1641,Ensemble (Val-Weighted),
23.36015506682017,6.731074785336959,0.9119043057965739,68.06825106642292,1641,Ensemble (Optimized),
