Model,Weight
Hybrid ARIMA-LSTM,0.19969509688809364
ARIMA,0.19618685085151621
Mean Reversion + Streak,0.19403021531131534
Mean Reversion,0.1930982593245659
ARIMAX,0.17733501830660786
GRU,0.030893328808519662
LSTM,0.008761230509381478
