Model,RMSE,MAE,MAPE,DA,Improvement
Baseline Hybrid,67.31587259942661,49.79434109714782,3.3625471557934374,72.04968944099379,0.0%
Gradient Boosting,65.52421610030072,48.901227664915,3.3037527264036353,77.63975155279503,+2.7%
Random Forest,68.33937083389264,52.247065376572465,3.5321889989648616,72.67080745341616,-1.5%
AdaBoost,61.65806432126325,49.54427679305756,3.356071916924296,47.82608695652174,+8.4%
Voting Ensemble (3x),64.54391967873714,49.0262070604967,3.3113109728650882,78.26086956521739,+4.1%
Weighted Ensemble,64.9759447932143,49.19559923835103,3.3229089349064918,77.01863354037268,+3.5%
Hybrid + Ensemble,65.8521053602303,48.97200939987006,3.306517128837115,77.01863354037268,+2.2%
