feature,te_score,mi_score,p_value,weight
usdngn_ma5,0.06576175038862571,3.555957250851371,0.0,1.35
usdngn_ma20,0.06137586941468377,3.5708560480348934,0.0,1.30594332708371
usdngn_lag1,0.0587020620145666,3.3673574487679026,0.0,1.2584215070729226
usdngn_lag10,0.05723499830485709,3.349332268366956,0.0,1.2414482101623099
usdngn_lag5,0.05373379669506416,3.35854464116254,0.0,1.2060176291265496
time_idx,0.04851816638730436,3.624928168029448,0.0,1.1777966056136164
cpi,0.05359399438703943,2.024449444123496,0.0,1.0748918349023207
mpr,0.04226523822794836,2.156653875674003,0.0,0.970202936394844
brent_oil,0.036050573062162736,1.9986342639886185,0.0,0.8903642395878876
rate_oil_ratio,0.03254295244376112,1.8784650218195074,0.0,0.8422910452246186
cos_doy,0.024060598650019447,0.16056581869482578,0.0,0.5873026313810003
usdngn_volatility,0.009642539228479644,0.8046047111100041,0.0,0.5003120602937657
sin_doy,0.013266699426624264,0.16498079919858633,0.0,0.4757417820308553
usdngn_trend,0.00626076083804542,0.5958418535452985,0.0,0.4449331349485721
usdngn_roc5,0.006718155730434971,0.44859534609882923,0.0,0.43536624772439314
usdngn_return,0.0056359291885179534,0.4165093028053457,0.025,0.4192435488996507
mpr_change,0.004299240621599644,0.055505296247374325,0.3,0.36544238236485327
oil_return,0.002692986107464055,0.0,0.875,0.35
