feature,importance,importance_pct
usdngn_lag1,0.09279750131383374,9.279750131383373
brent_oil,0.07599083294651818,7.599083294651818
usdngn_lag10,0.06760167410953334,6.7601674109533345
usdngn_volatility,0.06646135143077844,6.646135143077844
cos_doy,0.06283850749353088,6.283850749353088
usdngn_roc5,0.062077192755960194,6.20771927559602
usdngn_return,0.060686547920354404,6.06865479203544
usdngn_lag5,0.059701365483711834,5.970136548371183
mpr_change,0.05548331659565823,5.5483316595658225
usdngn_trend,0.053842399820723766,5.384239982072376
rate_oil_ratio,0.0525741874140327,5.25741874140327
time_idx,0.04967930218213672,4.967930218213672
sin_doy,0.04682308949931348,4.682308949931348
oil_return,0.046507398612408275,4.650739861240828
cpi,0.04425708671839256,4.425708671839256
usdngn_ma5,0.03594966664809796,3.5949666648097964
mpr,0.035355221571100694,3.5355221571100692
usdngn_ma20,0.03137335748391453,3.137335748391453
