Model,Weight
ARIMA,0.34362602749749016
Standalone LSTM,0.23141193651306166
Mean Reversion,0.20139088345219103
Hybrid ARIMA-LSTM,0.13722652790522688
Mean Reversion + Streak,0.0858454433016515
ARIMAX,0.0004991813303787948
